,Ticker,30YRWins,30YRLosses,25YRWins,25YRLosses,20YRWins,20YRLosses,15YRWins,15YRLosses,10YRWins,10YRLosses,5YRWins,5YRLosses
0,AAPL,14,0,19,0,20,4,20,9,23,11,28,11
1,ABT,24,0,28,1,34,0,35,4,42,2,37,12
2,ADBE,8,0,13,0,18,0,23,0,27,1,28,5
3,ADI,22,0,27,0,30,2,32,5,29,13,33,14
4,ADM,17,7,18,11,22,12,23,16,25,19,28,21
5,ADP,24,0,29,0,34,0,39,0,41,3,43,6
6,ADSK,9,0,14,0,19,0,22,2,20,9,19,15
7,AEM,4,18,4,23,10,22,16,21,15,27,21,26
8,AFL,21,0,26,0,30,1,30,6,32,9,34,12
9,AJG,8,2,12,3,17,3,20,5,18,12,16,19
10,AMAT,22,0,27,0,31,1,33,4,33,9,27,20
11,AMD,9,13,10,17,11,21,12,25,15,27,26,21
12,AMGN,11,0,16,0,20,1,23,3,28,3,25,11
13,AON,14,0,18,1,18,6,17,12,22,12,25,14
14,AOS,11,0,15,1,18,3,20,6,24,7,22,14
15,APA,17,7,18,11,23,11,23,16,23,21,26,23
16,APD,24,0,27,2,31,3,34,5,33,11,33,16
17,ATO,1,10,0,16,8,13,8,18,15,16,19,17
18,AVY,14,10,18,11,13,21,20,19,25,19,25,24
19,AXP,18,4,22,5,23,9,19,18,22,20,22,25
20,BA,21,3,22,7,26,8,26,13,31,13,32,17
21,BALL,22,0,24,3,22,10,29,8,30,12,31,16
22,BAM,0,0,0,0,0,0,0,0,0,0,0,0
23,BBVA,0,6,0,11,3,13,7,14,10,16,12,19
24,BBY,9,0,14,0,17,2,17,7,17,12,22,12
25,BCE,18,5,22,7,19,15,15,24,20,24,17,32
26,BDX,24,0,27,2,30,4,34,5,33,11,27,22
27,BF_B,24,0,29,0,32,2,34,5,37,7,31,18
28,BHP,17,5,14,13,21,11,23,14,17,25,25,22
29,BIO,14,0,19,0,23,1,26,3,26,8,29,10
30,BKR,0,7,0,12,1,16,5,17,8,19,8,24
31,BN,16,2,19,4,17,11,23,10,24,14,26,17
32,BRK_A,15,0,20,0,25,0,30,0,34,1,33,7
33,BRO,13,0,18,0,23,0,28,0,28,5,27,11
34,BTI,10,7,13,9,19,8,14,18,16,21,16,26
35,CAH,10,1,11,5,15,6,18,8,18,13,21,15
36,CAT,14,10,17,12,21,13,22,17,22,22,26,23
37,CCEP,7,1,10,3,9,9,17,6,18,10,15,18
38,CCK,2,22,3,26,13,21,22,17,26,18,32,17
39,CCL,3,4,6,6,8,9,11,11,13,14,14,18
40,CDNS,4,0,7,2,6,8,8,11,12,12,16,13
41,CHD,18,0,23,0,28,0,29,4,29,9,33,10
42,CI,12,0,15,2,17,5,21,6,24,8,22,15
43,CLX,22,2,25,4,30,4,32,7,35,9,31,18
44,CMCSA,22,0,27,0,30,2,37,0,33,9,28,19
45,CMI,15,9,15,14,17,17,19,20,18,26,21,28
46,CMS,0,24,0,29,2,32,7,32,11,33,20,29
47,COO,7,4,12,4,15,6,21,5,23,8,23,13
48,COP,10,14,14,15,18,16,16,23,15,29,23,26
49,COST,8,0,13,0,18,0,22,1,27,1,28,5
50,CP,0,0,0,0,3,0,8,0,13,0,15,3
51,CRH,4,1,6,4,8,7,11,9,14,11,17,13
52,CSL,23,1,26,3,30,4,33,6,37,7,33,16
53,CSX,14,0,15,4,17,7,16,13,21,13,23,16
54,CTAS,11,0,16,0,21,0,23,3,24,7,28,8
55,CVX,14,10,14,15,21,13,17,22,18,26,23,26
56,DE,15,9,19,10,21,13,24,15,26,18,27,22
57,DHR,24,0,27,2,31,3,35,4,40,4,42,7
58,DINO,24,0,28,1,29,5,28,11,31,13,27,22
59,DJI,19,5,20,9,21,13,22,17,24,20,28,21
60,DOV,24,0,29,0,32,2,39,0,40,4,36,13
61,EA,5,0,10,0,12,3,15,5,17,8,19,11
62,ECL,21,1,23,4,25,7,29,8,29,13,30,17
63,EFX,23,0,28,0,33,0,36,2,40,3,34,14
64,ENB,10,12,17,10,15,17,14,23,19,23,21,26
65,EOG,5,0,10,0,15,0,17,3,17,8,19,11
66,EQT,17,7,23,6,24,10,24,15,24,20,26,23
67,ES,0,24,3,26,7,27,11,28,14,30,16,33
68,ETN,22,2,25,4,28,6,32,7,29,15,28,21
69,EXPD,10,0,15,0,20,0,21,4,21,9,28,7
70,F,3,21,4,25,7,27,12,27,19,25,16,33
71,FAST,7,0,12,0,17,0,22,0,24,3,24,8
72,FCNCA,8,0,12,1,16,2,20,3,20,8,20,13
73,FDX,15,1,20,1,20,6,19,12,19,17,21,20
74,FI,8,0,13,0,18,0,23,0,28,0,30,3
75,FICO,7,0,12,0,17,0,22,0,26,1,25,7
76,FMC,12,12,13,16,17,17,17,22,19,25,26,23
77,GD,24,0,29,0,30,4,27,12,31,13,34,15
78,GE,15,9,17,12,20,14,22,17,26,18,24,25
79,GEN,4,1,9,1,12,3,13,7,12,13,10,20
80,GFI,0,18,0,23,1,27,1,32,8,30,14,29
81,GGG,22,0,27,0,31,1,35,2,40,2,40,7
82,GPC,1,23,3,26,12,22,19,20,23,21,24,25
83,GWW,22,1,26,2,29,4,30,8,32,11,34,14
84,HD,13,0,18,0,23,0,27,1,28,5,28,10
85,HEI,24,0,28,1,33,1,36,3,36,8,37,12
86,HES,5,19,9,20,14,20,13,26,14,30,20,29
87,HMC,10,12,14,13,16,16,21,16,21,21,24,23
88,HON,8,1,13,1,17,2,18,6,21,8,23,11
89,HRL,24,0,29,0,34,0,36,3,34,10,38,11
90,HSY,24,0,29,0,34,0,35,4,37,7,32,17
91,HUBB,0,24,2,27,6,28,11,28,14,30,16,33
92,HUM,16,8,18,11,21,13,25,14,29,15,29,20
93,IBM,3,21,7,22,9,25,12,27,20,24,20,29
94,IEX,5,0,10,0,15,0,20,0,24,1,26,4
95,IMO,9,15,17,12,16,18,13,26,13,31,17,32
96,INTC,21,1,24,3,24,8,24,13,27,15,28,19
97,IPG,10,13,11,17,13,20,19,19,28,15,31,17
98,ITW,22,0,27,0,32,0,37,0,41,1,38,9
99,J,23,0,28,0,32,1,35,3,29,14,31,17
100,JBHT,11,0,16,0,20,1,20,6,21,10,22,14
101,JCI,9,15,12,17,11,23,18,21,22,22,30,19
102,JKHY,9,0,14,0,19,0,24,0,28,1,29,5
103,JNJ,24,0,29,0,30,4,29,10,31,13,29,20
104,JPM,7,17,8,21,13,21,13,26,21,23,23,26
105,KLAC,14,0,18,1,24,0,23,6,24,10,28,11
106,KR,16,8,15,14,19,15,21,18,25,19,31,18
107,L,16,8,22,7,28,6,28,11,26,18,24,25
